 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Dire Wolves|36|0|1|27|1|1|30|0|2|2|1|5|2|2|1|10|7|1|3|1|2|8|2|30|1|9|2|0|6|0|1|3|2|2|2|1|7|0|0|0|0|1|1|2|0|10|3|2|0|1|0|1|7|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|4|
|Earthlore|36|0|1|27|1|1|30|0|3|3|19|2|2|2|1|3|26|1|3|14|2|8|2|21|0|13|2|0|6|2|0|3|2|2|2|1|7|0|0|0|0|1|1|2|0|10|3|2|0|1|0|1|7|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|5|
|Elder Druid|36|3|1|1|1|1|1|0|1|0|19|2|2|2|1|3|26|1|3|14|2|8|2|6|0|2|2|0|1|2|2|1|2|2|2|1|7|0|0|2|0|1|1|1|0|10|3|2|0|1|0|2|7|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|9|
|Essence Filter|36|0|1|1|8|1|1|0|3|2|1|5|2|2|1|11|5|1|3|2|1|2|2|42|0|19|2|3|5|1|8|1|2|2|2|1|7|0|0|2|0|3|1|2|0|10|3|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Fanatical Fever|36|0|1|1|6|1|1|0|3|2|3|0|2|2|1|11|5|1|3|2|1|2|2|2|0|4|2|0|8|1|2|1|2|2|2|1|7|0|0|2|0|3|1|2|0|10|1|2|0|1|0|2|0|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|3|
|Folk of the Pines|36|1|1|1|2|1|1|0|0|2|8|3|2|2|1|2|2|1|3|3|1|2|2|21|2|15|2|0|0|2|7|1|2|2|2|1|7|0|0|2|0|3|1|2|0|10|1|2|0|1|0|2|0|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|0|
|Forbidden Lore|36|2|1|1|2|1|1|0|2|4|8|3|2|2|1|4|2|1|3|3|1|2|2|0|2|6|2|0|0|2|7|1|2|2|2|1|7|0|0|2|0|3|1|2|0|10|1|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|3|
|Forgotten Lore|36|1|1|1|1|1|1|0|3|2|4|1|2|2|1|0|2|1|3|3|1|2|2|6|4|2|2|0|0|2|1|1|1|2|2|1|7|0|0|0|0|3|1|2|0|10|1|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|4|
|Foxfire|36|0|6|1|8|1|1|2|1|5|53|8|2|2|1|10|5|1|3|25|1|2|1|27|4|6|2|0|9|4|14|1|1|2|2|1|7|0|0|0|0|3|1|1|0|10|2|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|4|
|Freyalise Supplicant|36|0|6|1|5|1|1|1|3|5|4|2|2|2|1|10|0|1|3|1|1|2|1|0|0|3|2|0|9|4|14|1|1|2|2|1|7|0|0|0|0|3|1|1|0|10|2|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|0|
|Freyalise's Charm|36|0|6|1|5|1|1|1|6|4|4|2|2|2|1|2|7|1|3|2|1|2|1|11|0|0|2|1|9|0|0|1|1|2|2|1|7|0|5|0|0|3|1|1|0|10|2|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|0|
|Freyalise's Winds|36|0|6|1|5|1|1|1|1|4|0|2|2|2|1|2|7|1|3|1|1|0|1|11|1|1|2|2|9|0|0|1|1|2|2|1|7|0|5|0|0|3|1|1|0|10|2|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|3|
|Fyndhorn Brownie|36|0|6|15|18|1|1|1|9|7|33|7|2|2|1|2|14|1|3|17|1|0|1|20|1|13|2|2|0|0|0|1|1|2|2|1|7|0|5|0|0|3|1|1|0|10|1|2|0|1|0|2|1|2|8|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Fyndhorn Elder|36|2|3|15|18|1|1|1|1|7|8|2|0|1|1|0|1|0|3|7|0|0|1|6|2|3|2|2|0|0|0|1|1|2|2|1|7|0|30|0|0|3|2|1|2|10|1|2|0|1|0|2|1|7|1|0|1|1|4|2|2|1|3|2|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|7|
|Fyndhorn Elves|36|2|3|15|18|1|1|1|2|2|8|2|19|1|1|0|1|0|3|7|0|0|1|63|3|3|2|2|0|0|0|0|29|0|2|1|7|0|6|0|2|3|2|1|2|1|1|2|0|5|0|2|0|7|1|0|1|1|4|2|2|6|3|2|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|5|
|Fyndhorn Pollen|36|2|3|15|5|1|1|1|2|2|8|2|19|1|1|0|1|0|3|1|0|0|1|1|3|3|2|2|0|1|0|0|29|0|2|1|7|0|6|0|2|3|2|1|2|1|0|2|0|5|0|2|0|7|1|0|1|1|4|2|2|6|3|2|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|6|
|Giant Growth|20|0|1|15|5|10|1|1|40|2|570|7|19|378|43|6|47|0|22|1|0|0|1|50|6|3|3|2|0|3|0|10|20|0|2|1|7|0|8|0|1|3|9|1|21|1|11|8|0|6|1|2|0|3|6|0|1|9|2|2|6|4|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|2|
|Gorilla Pack|20|0|1|15|3|10|1|6|6|1|14|9|19|378|43|0|36|2|22|4|0|0|1|3|2|6|3|2|6|3|7|10|20|0|2|1|7|0|8|0|1|3|9|1|1|1|1|8|0|6|1|2|2|3|6|0|1|9|2|2|6|4|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|5|
|Hot Springs|20|0|1|15|3|10|1|6|2|3|14|9|19|378|43|0|36|2|22|4|0|0|1|2|2|6|3|2|6|3|7|10|0|0|2|1|7|0|8|0|1|3|9|1|1|1|0|8|0|6|1|2|2|3|6|0|1|9|2|2|6|4|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|6|
|Hurricane|20|3|2|15|2|10|1|1|2|7|22|4|19|1|3|7|2|2|22|1|1|0|1|3|2|6|0|3|3|2|12|4|0|0|2|2|7|0|8|0|1|3|9|1|5|1|0|8|1|6|1|2|8|3|2|0|1|0|2|2|6|2|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|5|
|Johtull Wurm|20|3|2|15|2|10|1|3|2|6|3|1|19|1|3|7|2|2|22|6|1|0|3|29|4|8|0|3|1|2|2|4|0|0|2|2|7|0|8|0|1|3|9|1|5|1|0|8|1|6|1|2|8|3|2|0|1|0|2|2|6|2|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|1|
|Juniper Order Druid|20|0|2|15|5|10|1|1|2|2|0|2|19|1|3|7|1|2|22|7|1|0|3|7|1|13|0|3|2|2|6|4|0|0|2|2|7|3|8|0|1|3|9|1|5|1|0|8|1|6|1|2|8|3|1|0|1|0|2|2|6|2|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|6|
|Lhurgoyf|1|2|2|6|6|10|1|2|0|2|0|2|19|5|2|7|0|2|22|7|1|0|3|7|1|0|0|3|2|2|6|0|0|0|2|2|7|3|8|1|1|3|9|1|5|1|0|8|1|6|1|2|8|3|1|0|1|0|2|1|0|2|3|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|9|
|Lure|30|0|22|41|0|10|134|8|0|11|83|7|3|12|99|53|5|8|13|3|32|14|26|66|1|10|8|10|47|0|20|0|2|0|2|2|7|4|8|1|1|3|6|0|1|0|1|1|1|6|1|3|1|3|6|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|6|
|Maddening Wind|30|0|22|41|0|10|134|8|1|11|0|2|3|12|99|53|1|8|13|1|32|14|26|11|3|2|8|0|0|0|2|0|2|0|2|2|7|4|8|1|1|3|6|0|1|0|1|1|1|6|1|3|1|3|6|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|0|
|Nature's Lore|30|0|22|0|0|10|27|8|1|11|0|4|0|3|99|53|1|8|13|1|32|14|26|11|3|5|2|1|0|2|2|0|1|2|2|2|7|3|8|1|1|3|1|0|1|0|1|1|1|6|1|3|1|3|6|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|1|
|Pale Bears|30|0|22|0|1|10|27|8|2|11|0|4|0|3|99|53|1|8|13|1|32|14|26|1|3|1|2|1|0|2|2|0|1|2|2|2|7|3|8|1|1|3|1|0|1|0|1|1|1|6|1|3|1|3|6|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|3|
|Pygmy Allosaurus|30|1|22|0|4|10|27|8|2|3|0|4|0|3|99|3|1|8|13|1|32|14|26|1|3|1|2|1|0|1|2|0|1|2|2|2|7|3|1|1|1|3|1|0|1|0|1|1|1|6|1|3|1|3|6|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|1|
|Pyknite|30|0|22|0|0|10|27|1|10|5|56|3|0|3|99|3|17|8|13|8|32|14|26|41|0|4|2|1|4|1|2|0|0|2|2|2|7|3|1|1|1|3|1|0|1|0|1|1|1|6|1|3|1|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|9|
|Regeneration|17|0|1|64|19|10|12|13|6|33|0|18|0|12|99|68|13|6|7|17|1|14|21|37|0|48|2|6|9|22|13|0|4|2|2|2|7|3|8|1|1|3|1|0|1|0|5|1|1|6|1|2|9|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|1|
|Rime Dryad|17|0|1|64|6|10|12|13|10|4|8|0|0|12|99|2|20|6|7|1|1|14|21|8|8|22|2|6|6|2|10|0|4|2|2|2|7|3|8|1|1|3|1|0|1|0|1|1|1|6|1|2|9|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|8|
|Ritual of Subdual|17|1|1|64|6|10|12|13|0|1|8|0|0|12|99|2|20|6|7|1|1|14|21|8|4|22|2|1|6|2|10|0|4|2|2|2|7|3|8|1|1|3|1|0|1|0|1|1|1|6|1|2|4|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|2|
|Scaled Wurm|23|0|13|70|40|10|80|20|7|4|159|6|4|21|99|29|47|7|1|41|1|14|8|80|1|22|12|2|6|13|10|0|4|2|2|2|7|3|8|1|1|7|1|0|1|0|5|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|3|
|Shambling Strider|23|0|13|70|0|10|80|3|5|1|12|6|4|21|99|29|3|7|1|7|1|14|8|20|2|8|12|2|15|1|3|0|4|2|2|2|7|3|8|1|1|7|1|0|1|0|5|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|6|
|Snowblind|23|0|13|70|1|10|80|3|3|1|12|6|4|21|99|29|0|7|1|7|1|14|8|0|2|2|12|2|2|1|3|0|4|2|2|2|7|3|8|1|1|7|1|0|1|0|2|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|8|
|Stampede|23|1|13|70|1|10|80|3|1|1|12|6|4|21|99|0|0|7|1|7|1|14|8|1|2|2|12|2|2|1|3|0|4|2|2|2|7|3|8|1|1|7|1|0|1|0|2|1|1|6|1|6|0|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|7|
|Stunted Growth|23|1|13|70|2|10|80|3|3|2|12|6|4|21|99|3|0|7|1|1|1|14|8|1|2|1|12|2|2|1|3|0|4|2|2|2|7|0|8|1|1|7|1|0|1|0|2|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|9|
|Tarpan|23|0|8|70|16|10|80|1|1|3|6|2|4|21|99|1|0|0|1|6|1|14|0|21|1|13|12|2|20|4|3|0|2|2|2|2|7|1|8|1|1|7|1|0|1|0|6|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|5|
|Thermokarst|23|0|8|70|16|10|80|1|1|6|6|2|4|21|99|4|3|0|1|6|1|14|0|21|0|1|0|2|1|4|3|0|2|2|2|2|7|0|8|1|1|7|1|0|1|0|1|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|8|
|Thoughtleech|23|0|1|2|3|10|1|2|3|6|6|2|4|21|99|4|2|0|1|6|1|14|0|6|6|6|0|1|2|1|3|0|2|2|2|2|7|1|8|1|1|7|1|0|1|0|1|1|1|6|1|6|2|3|0|0|1|1|2|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|2|
|Tinder Wall|23|2|1|2|3|10|1|2|1|6|6|2|4|21|99|14|2|0|1|1|1|14|0|15|3|2|0|1|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|1|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|9|
|Touch of Vitae|23|2|1|2|1|10|1|2|2|6|5|2|4|21|99|14|2|0|1|0|1|14|0|9|3|8|0|2|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|2|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|5|
|Trailblazer|23|2|1|2|1|10|1|2|0|2|5|4|4|21|99|4|2|0|1|4|1|14|0|2|3|8|0|2|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|2|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|1|
|Venomous Breath|23|0|1|3|2|10|4|1|3|11|5|1|4|21|99|4|2|0|1|0|1|14|0|5|3|1|0|2|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|2|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|6|
|Wall of Pine Needles|23|0|1|3|1|10|4|1|0|1|5|2|4|21|99|4|2|0|1|0|1|14|0|2|3|0|0|2|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|2|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|9|
|Whiteout|23|1|1|3|0|10|4|1|4|1|10|2|4|21|99|0|2|0|1|0|1|14|0|5|3|5|0|2|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|1|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|2|
|Wiitigo|23|1|1|3|0|10|4|1|4|4|3|2|4|21|99|0|0|0|1|3|1|14|1|2|3|3|0|2|2|1|2|0|1|2|2|2|7|1|8|1|12|7|1|0|1|0|0|1|1|6|1|6|2|3|3|0|1|1|0|1|0|1|2|0|4|6|4|7|1|1|1|0|2|0|10|12|3|2|1|0|2|8|0|1|2|1|
|Wild Growth|23|1|1|3|0|10|4|1|0|4|3|33|4|21|99|17|0|0|1|3|1|14|1|2|2|4|1|2|2|1|4|0|3|2|2|5|7|1|8|2|15|7|2|0|1|0|0|1|1|6|1|6|10|4|3|13|1|0|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|2|
|Woolly Mammoths|23|1|0|1|14|10|4|1|14|4|50|0|2|21|99|0|6|0|1|0|1|14|1|5|2|14|1|2|6|4|1|0|3|2|2|5|7|1|8|2|15|7|2|0|1|0|3|1|1|6|1|6|10|4|3|13|1|0|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Woolly Spider|23|1|0|1|6|10|4|2|0|4|2|0|2|21|99|0|5|0|1|2|1|14|1|20|6|7|1|2|16|4|1|0|3|2|2|5|7|3|3|2|15|7|2|0|1|0|0|1|1|6|1|6|10|4|3|13|1|0|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|5|
|Yavimaya Gnats|23|0|0|1|6|10|4|2|4|11|10|0|2|21|99|0|2|0|1|5|1|14|1|5|0|3|1|0|16|2|5|0|3|2|2|5|7|3|3|2|15|7|2|0|1|0|0|1|1|6|1|6|10|4|3|13|1|0|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Aggression|23|0|0|1|1|10|4|2|8|11|2|4|2|21|99|5|4|0|1|1|1|14|1|2|1|3|1|1|0|0|5|0|3|2|2|5|7|3|2|2|15|7|2|0|1|0|0|1|1|6|1|6|10|4|3|13|1|0|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Anarchy|23|7|0|1|4|10|4|2|1|11|4|4|2|21|1|3|0|0|1|1|1|14|1|0|2|1|1|0|0|0|5|0|4|1|2|1|7|0|1|3|0|7|2|0|1|0|0|1|1|6|1|6|10|4|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Avalanche|23|0|0|1|6|10|4|2|1|1|11|4|2|21|1|3|0|0|1|1|1|14|1|1|2|5|1|1|1|0|1|0|4|1|2|1|7|1|1|3|0|7|2|0|1|0|0|1|1|6|1|6|10|4|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Balduvian Barbarians|26|0|4|157|5|10|46|2|4|34|139|9|2|0|1|10|78|5|1|6|1|14|23|34|8|11|2|1|5|4|4|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|0|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Balduvian Hydra|26|2|4|157|5|10|46|2|1|1|139|9|2|0|1|3|78|5|1|2|1|14|23|34|8|0|2|1|1|4|4|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|0|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Barbarian Guides|0|0|4|157|7|10|46|2|0|2|25|3|2|0|1|1|18|0|1|6|1|14|1|27|6|0|2|1|2|4|8|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|1|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|2|
|Battle Frenzy|0|0|4|157|4|10|46|2|0|2|11|1|2|0|1|5|24|0|1|7|1|14|1|15|4|12|2|2|12|0|10|0|0|1|2|1|7|2|1|3|0|7|2|0|1|0|1|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Bone Shaman|0|0|4|157|12|10|46|2|6|1|35|7|2|0|1|18|16|1|1|9|1|14|1|13|4|6|2|2|13|4|7|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|1|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|6|
|Brand of Ill Omen|0|0|4|157|12|10|46|2|1|4|35|1|2|0|1|18|16|1|1|9|1|14|1|13|4|1|2|1|13|4|7|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|1|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Chaos Lord|0|0|4|157|2|10|46|2|1|4|35|1|2|0|1|18|16|1|1|0|1|14|1|13|4|2|2|1|13|4|2|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|1|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Chaos Moon|0|1|4|157|3|10|46|2|3|4|35|2|2|0|1|18|16|1|1|0|1|14|1|13|4|1|2|1|13|4|2|0|1|1|2|1|7|2|1|3|0|7|2|0|1|0|1|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|6|
|Conquer|0|0|1|2|3|10|46|2|1|12|35|0|2|0|1|18|0|1|1|2|1|14|1|18|4|2|2|1|17|4|1|0|2|1|2|1|7|2|1|0|0|7|2|0|1|0|3|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|2|
|Curse of Marit Lage|0|0|1|2|3|10|46|2|2|5|2|0|2|0|1|18|0|1|1|2|1|14|1|1|4|2|2|1|17|4|1|0|2|1|2|1|7|2|1|0|0|7|2|0|1|0|3|1|1|6|1|1|4|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|9|
|Dwarven Armory|0|0|1|2|0|10|46|2|1|2|2|0|2|0|1|18|4|1|1|2|1|14|1|1|4|2|2|1|17|4|1|0|2|1|2|1|7|2|1|0|0|7|2|0|1|0|3|1|1|6|1|1|1|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
|Errantry|0|0|7|2|10|10|46|0|10|6|15|5|2|0|1|14|18|2|1|6|1|14|1|26|4|16|2|6|10|4|8|0|1|1|2|1|7|2|1|0|0|7|2|0|1|0|3|1|1|6|1|1|1|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|0|
|Flame Spirit|0|0|1|40|4|10|46|0|1|18|4|2|2|0|1|4|10|2|1|8|1|14|1|8|4|2|2|6|16|4|0|0|1|1|2|1|7|2|1|0|0|7|2|0|1|0|1|1|1|6|1|1|1|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|5|
|Flare|0|0|5|8|11|10|46|4|1|13|53|1|2|0|1|74|3|2|1|0|2|14|1|95|4|13|2|1|11|10|2|0|1|1|2|1|7|2|1|0|0|7|2|0|1|0|0|1|1|6|1|1|1|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|9|
|Game of Chaos|0|4|1|8|5|10|46|4|4|13|53|1|2|0|1|74|1|2|1|1|2|14|1|2|4|1|2|1|11|1|2|0|1|1|2|1|7|2|1|0|0|7|2|0|1|0|2|1|1|6|1|1|1|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|9|
|Glacial Crevasses|0|4|1|8|5|10|46|4|1|13|53|1|2|0|1|74|3|2|1|1|2|14|1|2|4|1|2|1|11|1|2|0|1|1|2|1|7|2|1|0|0|7|2|0|1|0|2|1|1|6|1|1|1|3|3|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|7|
|Goblin Mutant|0|4|1|8|4|10|46|0|2|1|53|3|1|0|1|2|3|2|1|0|2|14|1|1|4|3|2|1|1|1|2|0|1|1|2|1|7|1|1|0|0|7|2|0|1|0|2|1|1|6|1|1|1|3|4|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|0|
|Goblin Sappers|0|0|1|8|8|10|46|0|0|1|17|1|1|0|1|16|4|2|1|2|2|14|1|2|4|7|2|2|2|1|1|0|1|1|2|1|7|1|1|0|0|7|2|0|0|0|1|1|1|6|1|1|1|3|1|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|9|
|Goblin Ski Patrol|0|0|1|8|8|10|46|0|7|1|42|6|1|0|1|14|6|2|1|0|2|14|1|2|3|9|2|1|10|1|4|0|1|1|2|1|7|1|1|0|0|7|2|0|0|0|1|1|1|6|0|1|1|3|1|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|8|
|Grizzled Wolverine|0|0|1|8|5|10|46|0|0|3|10|15|1|0|1|10|10|2|1|2|2|14|1|3|11|5|2|1|5|0|2|0|1|1|2|1|7|1|1|0|0|7|2|0|0|0|3|1|1|6|0|1|1|3|1|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|1|
